iter	Passed	Remaining
0	145	145244
1	145	72852
2	146	48709
3	147	36636
4	147	29392
5	148	24561
6	148	21115
7	149	18527
8	150	16520
9	150	14916
10	151	13599
11	151	12504
12	152	11574
13	152	10775
14	153	10081
15	154	9474
16	154	8941
17	155	8466
18	155	8041
19	156	7660
20	156	7316
21	157	6999
22	158	6712
23	158	6449
24	159	6206
25	159	5982
26	160	5775
27	160	5582
28	161	5403
29	161	5236
30	162	5080
31	163	4933
32	163	4795
33	164	4666
34	164	4545
35	165	4430
36	166	4321
37	166	4217
38	167	4118
39	167	4025
40	168	3936
41	168	3851
42	169	3771
43	170	3693
44	170	3619
45	171	3548
46	171	3481
47	172	3416
48	172	3353
49	173	3294
50	173	3236
51	174	3180
52	175	3127
53	175	3076
54	176	3026
55	176	2978
56	177	2932
57	177	2887
58	178	2847
59	179	2805
60	179	2767
61	180	2728
62	180	2690
63	181	2654
64	182	2619
65	182	2585
66	183	2551
67	183	2519
68	184	2487
69	184	2456
70	185	2426
71	186	2397
72	186	2369
73	187	2341
74	187	2314
75	188	2288
76	188	2262
77	189	2237
78	189	2212
79	190	2188
80	190	2165
81	191	2143
82	191	2118
83	192	2096
84	192	2076
85	193	2056
86	194	2037
87	194	2017
88	195	1998
89	195	1980
90	196	1962
91	196	1944
92	197	1926
93	198	1909
94	198	1892
95	199	1876
96	199	1860
97	200	1844
98	201	1832
99	201	1817
100	202	1803
101	203	1788
102	203	1774
103	204	1760
104	204	1747
105	205	1733
106	206	1720
107	206	1708
108	207	1695
109	208	1684
110	208	1672
111	209	1660
112	210	1648
113	210	1639
114	211	1628
115	212	1617
116	212	1605
117	213	1595
118	214	1584
119	214	1574
120	215	1564
121	215	1553
122	216	1543
123	217	1534
124	217	1524
125	218	1515
126	218	1505
127	219	1496
128	220	1487
129	220	1478
130	221	1470
131	222	1461
132	222	1453
133	223	1445
134	224	1437
135	224	1429
136	225	1421
137	226	1413
138	226	1405
139	227	1398
140	228	1390
141	228	1382
142	229	1374
143	230	1367
144	230	1360
145	231	1353
146	232	1346
147	232	1339
148	233	1332
149	234	1326
150	234	1319
151	235	1312
152	236	1306
153	236	1299
154	237	1293
155	238	1287
156	238	1281
157	239	1276
158	240	1270
159	240	1265
160	241	1258
161	242	1252
162	242	1246
163	243	1241
164	244	1236
165	244	1230
166	245	1224
167	246	1219
168	246	1214
169	247	1208
170	248	1203
171	248	1198
172	249	1193
173	250	1188
174	250	1183
175	251	1178
176	252	1173
177	253	1168
178	253	1164
179	254	1159
180	255	1154
181	255	1149
182	256	1145
183	257	1140
184	257	1135
185	258	1131
186	259	1126
187	259	1122
188	260	1117
189	261	1113
190	261	1108
191	262	1104
192	263	1100
193	263	1095
194	264	1091
195	265	1087
196	265	1083
197	266	1079
198	267	1075
199	267	1071
200	268	1068
201	269	1064
202	270	1060
203	270	1056
204	271	1052
205	272	1048
206	272	1044
207	273	1040
208	274	1037
209	274	1033
210	275	1029
211	275	1025
212	276	1022
213	277	1018
214	277	1014
215	278	1011
216	279	1007
217	279	1004
218	280	1000
219	281	997
220	282	994
221	282	990
222	283	987
223	284	984
224	284	981
225	285	977
226	286	974
227	286	971
228	287	968
229	288	964
230	288	961
231	289	958
232	290	955
233	290	952
234	291	949
235	292	945
236	292	942
237	293	939
238	294	936
239	294	933
240	295	930
241	296	928
242	297	925
243	297	922
244	298	919
245	299	916
246	299	914
247	300	911
248	301	908
249	301	905
250	302	902
251	303	899
252	303	897
253	304	894
254	305	891
255	305	888
256	306	886
257	307	883
258	307	880
259	308	878
260	309	875
261	309	872
262	310	870
263	311	867
264	312	865
265	312	862
266	313	860
267	314	857
268	314	855
269	315	852
270	316	850
271	316	847
272	317	845
273	318	842
274	318	840
275	319	838
276	320	835
277	320	833
278	321	830
279	322	828
280	322	826
281	323	824
282	324	821
283	325	819
284	325	817
285	326	815
286	327	813
287	328	811
288	328	808
289	329	806
290	330	804
291	330	802
292	331	800
293	332	798
294	333	796
295	333	794
296	334	792
297	335	789
298	336	787
299	336	785
300	337	783
301	338	781
302	338	779
303	339	777
304	340	775
305	341	773
306	341	771
307	342	769
308	343	767
309	344	765
310	344	763
311	345	761
312	346	759
313	346	757
314	347	755
315	348	753
316	348	751
317	349	749
318	350	747
319	350	745
320	351	743
321	352	741
322	352	739
323	353	737
324	354	735
325	354	733
326	355	731
327	356	729
328	357	728
329	357	726
330	358	724
331	359	722
332	359	720
333	360	719
334	361	717
335	361	715
336	362	713
337	363	711
338	363	709
339	364	707
340	365	706
341	366	704
342	366	702
343	367	700
344	368	698
345	368	696
346	369	695
347	370	693
348	370	691
349	371	689
350	372	688
351	372	686
352	373	684
353	374	682
354	374	681
355	375	679
356	376	677
357	376	676
358	377	674
359	378	672
360	379	671
361	379	669
362	380	667
363	381	666
364	381	664
365	382	662
366	383	661
367	384	659
368	384	658
369	385	656
370	386	655
371	387	653
372	387	652
373	388	650
374	389	648
375	390	647
376	390	645
377	391	644
378	392	642
379	392	641
380	393	639
381	394	638
382	395	636
383	395	634
384	396	633
385	397	631
386	397	630
387	398	628
388	399	626
389	399	625
390	400	623
391	401	622
392	402	620
393	402	619
394	403	618
395	404	616
396	404	615
397	405	613
398	406	611
399	406	610
400	407	608
401	408	607
402	409	605
403	409	604
404	410	602
405	411	601
406	411	599
407	412	598
408	412	596
409	413	595
410	414	593
411	414	592
412	415	590
413	416	589
414	417	588
415	417	586
416	418	585
417	419	583
418	420	582
419	420	580
420	421	579
421	422	578
422	422	576
423	423	575
424	424	573
425	424	572
426	425	570
427	426	569
428	426	567
429	427	566
430	428	565
431	428	563
432	429	562
433	430	560
434	430	559
435	431	558
436	432	557
437	433	555
438	433	554
439	434	553
440	435	551
441	436	550
442	436	549
443	437	547
444	438	546
445	438	545
446	439	543
447	440	542
448	440	541
449	441	539
450	442	538
451	443	537
452	443	535
453	444	534
454	445	533
455	445	531
456	446	530
457	447	529
458	447	528
459	448	526
460	449	525
461	450	524
462	450	522
463	451	521
464	452	520
465	452	518
466	453	517
467	454	516
468	454	514
469	455	513
470	456	512
471	456	510
472	457	509
473	458	508
474	458	507
475	459	505
476	460	504
477	460	503
478	461	501
479	462	500
480	462	499
481	463	498
482	464	496
483	464	495
484	465	494
485	466	493
486	466	491
487	467	490
488	468	489
489	469	488
490	469	486
491	470	485
492	471	484
493	471	483
494	472	482
495	473	480
496	473	479
497	474	478
498	475	477
499	475	475
500	476	474
501	477	473
502	478	472
503	478	471
504	479	469
505	480	468
506	480	467
507	481	466
508	482	465
509	482	463
510	483	462
511	484	461
512	484	460
513	485	459
514	486	458
515	487	457
516	488	455
517	488	454
518	489	453
519	490	452
520	490	451
521	491	450
522	492	449
523	493	448
524	493	446
525	494	445
526	495	444
527	496	443
528	497	442
529	497	441
530	498	440
531	499	439
532	499	438
533	500	436
534	501	435
535	502	434
536	503	433
537	503	432
538	504	431
539	505	430
540	505	429
541	506	428
542	507	427
543	508	425
544	508	424
545	509	423
546	510	422
547	510	421
548	511	420
549	512	419
550	513	418
551	513	416
552	514	415
553	515	414
554	516	413
555	516	412
556	517	411
557	518	410
558	518	409
559	519	408
560	520	407
561	521	406
562	521	405
563	522	403
564	523	402
565	524	401
566	524	400
567	525	399
568	526	398
569	527	397
570	527	396
571	528	395
572	529	394
573	530	393
574	530	392
575	531	391
576	532	390
577	532	389
578	533	387
579	534	386
580	534	385
581	535	384
